Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:45UyTTSvdUdvCU1cfkc7sO,"Malare Instrumental","Premam","Rajesh Murugesan",2015-03-25,315402,36,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-20T09:20:34Z,"mollywood,malayalam pop,tamil dance","Muzik247",0.335,0.471,11,-10.487,1,0.0335,0.616,0.964,0.184,0.156,164.996,3
spotify:track:4zslfGKgwn2U49PwB0CsHV,"Paartha Mudhal","Vettaiyaadu Vilaiyaadu (Original Motion Picture Soundtrack)","Harris Jayaraj,Unni Menon,Bombay Jayashri,Thamarai",2006-03-08,366040,0,false,31zokwipy6wnwkgdu7iaoucopxs4,2023-06-07T17:37:46Z,"tamil pop,kollywood,tamil dance,malayalam pop","Ayngaran",0.813,0.535,7,-8.677,0,0.0384,0.0906,0.0000601,0.114,0.796,108.015,4
spotify:track:6Crs0KY6mHL9e1YEKNYUAl,"Little Little","Galatta Kalyaanam","A.R. Rahman,Dhanush,Sharanya Srinivas",2021-12-13,257439,43,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-20T17:37:16Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance,tamil indie","T-Series",0.646,0.553,0,-7.448,0,0.154,0.107,0.007,0.0815,0.696,103.416,3
spotify:track:5KZyOG8LZsBrHjuEdNyZHa,"Omana Penne","Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack)","A.R. Rahman,Benny Dayal,Kalyani Menon",2010-01-11,332586,59,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:48:58Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,malayalam pop,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.69,0.728,5,-7.564,1,0.0486,0.335,0.0834,0.0546,0.664,87.02,4
spotify:track:1QuZBM0iHDlr1oRVyeZypC,"Anbil Avan","Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack)","A.R. Rahman,Chinmayi,Devan Ekambaram",2010-01-11,251973,66,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:50:37Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop,marathi pop,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.731,0.901,8,-5.881,1,0.0308,0.231,0.0254,0.0577,0.944,133.039,4
spotify:track:3Ajj1eKaO0fg9YWeAE5vVU,"Vinnaithaandi Varuvaayaa","Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack)","A.R. Rahman,Karthik,Vivek Agrawal",2010-01-11,192533,49,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:50:39Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,telugu pop,tollywood,kannada pop,malayalam pop,tamil dance,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.53,0.333,8,-9.658,1,0.0277,0.839,0.0191,0.12,0.153,139.851,3
spotify:track:3l7JaDIJmWMpvcJqhTJjrk,"Hosanna","Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack)","A.R. Rahman,Vijay Prakash,Suzanne D'Mello,Blaaze",2010-01-11,330546,62,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:50:40Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,sandalwood,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.582,0.812,7,-6.147,1,0.0418,0.166,0.00162,0.0407,0.7,86.051,4
spotify:track:68kb4S1XJcLO9jn6sDwSU1,"Kannukkul Kannai","Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack)","A.R. Rahman,Naresh Iyer",2010-01-11,232840,53,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:50:41Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.793,0.862,7,-4.84,1,0.0447,0.247,0.0151,0.0832,0.962,130.024,4
spotify:track:7mMkw0JFKnyMS6oGRT6b3O,"Mannipaaya","Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack)","A.R. Rahman,Shreya Ghoshal",2010-01-11,416320,59,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:50:42Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.389,0.485,3,-8.961,1,0.0348,0.7,0.0000328,0.122,0.249,175.991,4
spotify:track:5Toj8uGqy5Tyb6nXxPU3RD,"Aaromale","Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack)","A.R. Rahman,Alphons Joseph",2010-01-11,346160,45,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:50:43Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,malayalam pop,mollywood,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.636,0.67,9,-6.693,1,0.0307,0.128,0.00401,0.104,0.522,140.092,4
spotify:track:23MwjnLi2vYwS9fBuWpIMb,"Munbe Vaa","Silunu Oru Kadhal","A.R. Rahman,Naresh Iyer,Shreya Ghoshal",2006-08-02,356941,0,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:51:30Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop,kannada pop,marathi pop","Ayngaran",0.609,0.759,10,-9.422,0,0.0336,0.245,0.0000284,0.207,0.802,141.126,4
spotify:track:38kzhc8vVQa9Ia6HJY3NHx,"New York","Silunu Oru Kadhal","A.R. Rahman",2006-08-02,378240,0,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:51:48Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","Ayngaran",0.654,0.726,0,-8.594,1,0.0276,0.22,0.000406,0.0743,0.583,127.031,4
spotify:track:3YfG9ch4qcYbDhwVtDuzQm,"Thuli Thuli (From Paiya)","All About Love: Yuvanshankar Raja","Yuvan Shankar Raja,Haricharan,Tanvi Shah",2018-08-31,283346,54,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:05Z,"tamil pop,kollywood,tamil dance,tamil hip hop,mollywood,tollywood,telugu pop,malayalam pop,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.706,0.528,7,-7.431,0,0.0312,0.257,0.0019,0.112,0.634,92.021,4
spotify:track:3woADSzwL2s3kEZtGsrCyD,"Ennamo Yeadho (From KO)","Endrendrum Harris","Harris Jayaraj,Aalaap Raju,Prashanthini,Emcee Jesz,Sri Charan,Madhan Karky",2014-01-10,333600,53,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:09Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,tamil hip hop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.793,0.571,7,-6.289,0,0.0341,0.0439,0.000215,0.193,0.692,90.986,4
spotify:track:1qfanYrmrh7xDSvt15acZ3,"Oru Maalai","Ghajini (Original Motion Picture Soundtrack)","Karthik",2005,354240,63,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:11Z,"telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,tamil dance,mollywood","Roja/Mass Audio",0.805,0.742,0,-6.366,0,0.0396,0.0578,0.000482,0.361,0.717,111.981,4
spotify:track:6NwEpX2JUWHVKWfDDfcqC4,"Idhazhin Oram - The Innocence of Love","3 (Original Motion Picture Soundtrack)","Anirudh Ravichander,Ajesh",2011-12-23,204866,69,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:13Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.65,0.783,7,-6.197,0,0.0377,0.22,0.00000371,0.182,0.302,109.959,4
spotify:track:5KJSI1MjQeXEBHBYMjgP41,"Innum Konjam Naeram","Maryan (Original Motion Picture Soundtrack)","A.R. Rahman,Vijay Prakash,Shweta Mohan",2013-05-13,313533,69,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:15Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,sandalwood,tollywood,telugu pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.647,0.389,5,-10.35,1,0.0336,0.509,0.0000078,0.103,0.436,134.976,3
spotify:track:6EwRpLL5QThnF2k1sZzQpC,"Kadhal Oru Aagayam","Imaikkaa Nodigal (Original Motion Picture Soundtrack)","Hiphop Tamizha,Teejay,Al Rufian",2018-06-27,161762,65,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:18Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Think Music",0.488,0.585,5,-4.39,0,0.0263,0.664,0,0.386,0.399,143.96,4
spotify:track:7gaysiOWpGoNQocrSwa1yM,"Marudaani","Sakkarakatti (Original Motion Picture Soundtrack)","A.R. Rahman,Madhushree,Hentry Kuruvila",2008-07-11,387200,66,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:24Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.572,0.66,5,-7.422,1,0.0351,0.126,0.000238,0.131,0.585,179.983,4
spotify:track:2DnfC8ghXPQgn1SKPCCL6S,"Mun Andhi","7 Aum Arivu (Original Motion Picture Soundtrack)","Harris Jayaraj,Karthik,Megha",2011-09-22,374760,62,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:29Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,kannada pop,malayalam pop,mollywood,sandalwood","Sony Music Entertainment India Pvt. Ltd.",0.747,0.532,4,-8.897,1,0.0365,0.286,0.0016,0.103,0.634,136.962,4
spotify:track:6Z8oU8xMOie24Cflh2Sw6p,"Venmegam","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Hariharan",2008-10-17,274853,68,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:31Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bhajan,ghazal,devotional,telugu pop","Think Music (India)",0.803,0.426,3,-11.54,1,0.0742,0.418,0.0000223,0.11,0.556,114.945,4
spotify:track:6sPW145Y3LSXd4p1LjBOcS,"Kanave Kanave","David","Anirudh Ravichander",2013-01-10,284784,68,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-21T15:52:33Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","T-Series",0.47,0.513,9,-10.076,0,0.0294,0.373,0.0000065,0.123,0.477,95.015,1
spotify:track:5VigM0SN4zwWk0X3toKoZn,"Sakarai Nilave","Sakarai Nilave","Sathursan,Harish Raghavendra",2022-01-18,342626,0,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-22T16:05:17Z,"tamil pop,kollywood,telugu pop,tollywood","Sathu",0.573,0.514,2,-9.271,1,0.0409,0.514,0,0.359,0.443,90.823,4
spotify:track:09ghRr7MRt5XAlX1PDeyZE,"Kadhal Suthudhe","Saravana","Srikanth Deva,Naresh Iyer,Sadhana Sargam",2006,341465,0,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-03-22T16:05:35Z,"tamil dance,tamil pop,kollywood,tollywood,telugu pop,bollywood","Think Tapes",0.627,0.955,9,-4.047,0,0.104,0.132,0.00000664,0.418,0.499,130.052,4
spotify:track:6dZCuf6SGn2rh9q94JBLlv,"Idhu Varai","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Ajesh,Andrea Jeremiah",2010-01-01,284480,63,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:23Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.67,0.517,5,-6.963,0,0.039,0.481,0.0000249,0.217,0.615,77.514,4
spotify:track:5jXrULyYKHjkAMk4TXZFoG,"Kaadhal Endral","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-01-01,87133,58,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:27Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.638,0.324,0,-7.787,0,0.0321,0.923,0.0000335,0.151,0.446,129.932,4
spotify:track:3EeyaFOWvqer0qaEMrFyAz,"Yedho Ondru Ennai (From Paiya)","Voice of Yuvanshankar Raja Vol. 2","Yuvan Shankar Raja",2013-07-10,213520,53,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:32Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.858,0.447,10,-7.917,1,0.0343,0.67,0.0000919,0.0738,0.256,119.98,4
spotify:track:13wIQbwSuQ4YFvDvtQgSVc,"Vaarayo Vaarayo","Aadhavan (Original Motion Picture Soundtrack)","Harris Jayaraj,Chinmayi,Unnikrishnan,Mega",2009-08-09,316680,73,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:36Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,marathi pop,bollywood,hindi pop","Think Music (India)",0.718,0.361,5,-9.74,0,0.0298,0.565,0.119,0.151,0.446,103,4
spotify:track:1n5gnI3Wue9WBpYFOIQNh1,"Mundhinam","Vaaranam Aayiram (Original Motion Picture Soundtrack)","Harris Jayaraj,Naresh Iyer,Prashanthini",2008-10-08,341386,69,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:39Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.474,0.548,11,-8.614,1,0.331,0.237,0,0.0791,0.676,193.671,4
spotify:track:5PGMCQZR2AnFXSYvUxVb30,"Adada Mazhaida (From Paiya)","My Playlist: Yuvanshankar Raja","Yuvan Shankar Raja,Rahul Nambiar,Saindhavi",2014-08-18,267120,45,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:41Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,devotional,bhajan","Sony Music Entertainment India Pvt. Ltd.",0.891,0.691,6,-9.417,0,0.0588,0.29,0.00555,0.0596,0.666,120.004,4
spotify:track:00DMv3gdOFGDBFZ0WuvtXn,"Visiri","Visiri (From 'Enai Noki Paayum Thota')","Darbuka Siva,Sid Sriram,Shashaa Tirupati",2018-01-01,311127,0,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:44Z,"tamil pop,kollywood,tollywood,telugu pop,hindi pop,bollywood","VMS Music Records And Publishing Sdn Bhd",0.585,0.347,7,-8.741,1,0.0303,0.655,0.0000332,0.131,0.54,114.863,4
spotify:track:1RQw9ruSPj5Is7OzqG09Zs,"Unnaale Unnaale","Unnale Unnale","Karthik,Krishh,Harini",2006-12-31,283373,56,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:46Z,"telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,tamil dance,mollywood","Saregama",0.784,0.629,10,-9.754,0,0.0424,0.364,0.0000024,0.0941,0.843,101.016,4
spotify:track:3Bh8VEMG1ugQgDHsuxJkat,"Mayilrage","Anbe Aaruyire (Original Motion Picture Soundtrack)","Madhusree,Naresh Iyer",2013-03-28,322861,62,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:49Z,"tamil pop,kollywood,tollywood,telugu pop","Five Star Audio",0.732,0.654,8,-7.583,0,0.0396,0.464,0.0000549,0.123,0.724,122.049,4
spotify:track:6S6DFMfhwIZYHUffVzuWOI,"June Ponal","Unnale Unnale","Krishh,Arun",2006-12-31,361533,64,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:49:51Z,"tamil pop,kollywood,telugu pop,tollywood","Saregama",0.741,0.489,11,-9.428,0,0.0472,0.0386,0,0.162,0.667,113.028,4
spotify:track:06urexU7lv41RDdLnMzChi,"Oh! Shanthi Shanthi","Vaaranam Aayiram (Original Motion Picture Soundtrack)","Harris Jayaraj,Clinton,S.P. Charan",2008-10-08,183533,58,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-05-11T01:50:25Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.706,0.597,10,-7.045,1,0.041,0.464,0,0.226,0.41,132.91,4
spotify:track:2WO5nzB7QtKn9ZRc9Jkalt,"Annul Maelae","Vaaranam Aayiram (Original Motion Picture Soundtrack)","Harris Jayaraj,Sudha Ragunathan",2008-10-08,322506,68,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:38:53Z,"tamil pop,kollywood,tamil dance,devotional","Sony Music Entertainment India Pvt. Ltd.",0.773,0.436,4,-10.972,0,0.0321,0.672,0.00678,0.197,0.533,115.917,4
spotify:track:7vR8sGqVg5HMEOEvECdzlQ,"En Kadhal Solla (From Paiya)","Voice of Yuvanshankar Raja Vol. 2","Yuvan Shankar Raja,Tanvi Shah",2013-07-10,293893,55,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:38:59Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.874,0.412,0,-5.746,0,0.0313,0.035,0.00684,0.102,0.56,105.019,4
spotify:track:6ghhnw1yxO8uev7BxdWjbN,"Elangathu (From Pithamagan)","Shreya Ghoshal - Sing for You","Shreya Ghoshal,Sriram Parthasarathy",2013-06-15,369773,54,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:06Z,"bollywood,hindi pop,desi,kannada pop,marathi pop,tamil pop,kollywood","Five Star Audio",0.694,0.479,0,-8.918,1,0.0307,0.36,0,0.195,0.735,143.974,4
spotify:track:0Bmsyr5cSBRdls7yFswkhL,"Venpaniye","KO (Original Motion Picture Soundtrack)","Harris Jayaraj,Sriram Parthasarathy,Bombay Jayashri",2011-01-18,326666,49,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:12Z,"tamil pop,kollywood,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.702,0.426,7,-10.732,0,0.0259,0.362,0.000138,0.0654,0.425,93.012,4
spotify:track:0ogQLrVggiaPUbHmRX5LqY,"Kadhal Aasai (From Anjaan)","My Playlist: Yuvanshankar Raja","Yuvan Shankar Raja,Sooraj Santhosh",2014-08-18,303750,52,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:17Z,"tamil pop,kollywood,tamil dance,tamil hip hop,mollywood,malayalam pop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.403,0.826,6,-5.01,1,0.0721,0.493,0,0.139,0.358,73.226,4
spotify:track:3FRLxtpSk9BxxnxdS6I4jq,"Iragai Poley","Naan Mahaan Alla (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Tanvi Shah",2010-07-16,317739,64,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:21Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.875,0.539,3,-8.364,0,0.0367,0.0586,0.0047,0.116,0.305,115.004,4
spotify:track:6old0mA1IHi5lw2yLv3ri6,"Dhimu Dhimu","Engeyum Kadhal (Original Motion Picture Soundtrack)","Harris Jayaraj,Karthik",2010-11-11,329840,60,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:25Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,kannada pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.643,0.478,0,-9.376,1,0.0274,0.569,0.000371,0.118,0.317,93.418,4
spotify:track:0uVrPeEM1Q02sbGA3zJ3CC,"Nanbane","Mankatha (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Madhushree",2011-08-10,302600,56,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:27Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.451,0.306,2,-6.325,0,0.0403,0.82,0.00544,0.207,0.262,102.659,4
spotify:track:7hMKAmUlUUYa5qEiHWK4bk,"Pookkal Pookkum","Madharasapattinam (Original Motion Picture Soundtrack)","G. V. Prakash,Roop Kumar Rathod,Harini,Andrea Jeremiah",2010-04-04,396466,70,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:34Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,bollywood,sufi,hindi pop,desi,telugu pop","Think Music (India)",0.589,0.424,4,-12.006,0,0.0359,0.844,0.00381,0.169,0.561,119.823,4
spotify:track:4vlMdXsRpAIXYggwbNHZSv,"Nenjukkul Peidhidum","Vaaranam Aayiram (Original Motion Picture Soundtrack)","Harris Jayaraj,Hariharan,Devan Ekambaram,VV Prassanna",2008-10-08,369333,68,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:36Z,"tamil pop,kollywood,tamil dance,bhajan,ghazal,devotional,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.687,0.43,9,-10.31,1,0.0407,0.6,0.00000249,0.132,0.241,115.01,4
spotify:track:6wBXSf1chpnyXGOSvANs0a,"Thalli Pogathey","Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack)","A.R. Rahman,Sid Sriram,Aaryan Dinesh Kanagaratnam",2016-06-20,268055,0,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:40Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop,tamil hip hop,tamil dance","Divo",0.585,0.749,9,-6.029,0,0.0347,0.106,0,0.0909,0.15,98.234,3
spotify:track:5jkH9Pgv28mW9ve6uGtohT,"En Jeevan","Theri (Original Motion Picture Soundtrack)","G. V. Prakash,Hariharan,Saindhavi,Vaikom Vijayalakshmi",2016-03-21,320234,63,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:55Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,bhajan,ghazal,devotional,telugu pop,mollywood,malayalam pop","Think Music",0.393,0.29,7,-9.136,0,0.0385,0.552,0.00000384,0.54,0.296,179.779,3
spotify:track:102YVYHLNfgkfQP3qvDqsD,"Koodamela Koodavechi","Rummy (Original Motion Picture Soundtrack)","D. Imman,VV Prassanna,Vandana Srinivasan",2013-10-25,300373,64,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:39:59Z,"tamil pop,tamil dance,kollywood,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.694,0.695,4,-5.035,0,0.0276,0.324,0,0.177,0.668,120.057,4
spotify:track:5ghbwjKyLxrD1Q8913TlgH,"Neethanae (From Mersal)","Rahman Rewind: Romance","A.R. Rahman,Shreya Ghoshal",2019-01-04,268455,46,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:02Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.57,0.442,2,-9.656,0,0.043,0.716,0.000788,0.0922,0.53,73.963,4
spotify:track:7CBZqJrizHPFH8tHzMZeqX,"Sudasuda Thooral (From Kedi Billa Killadi Ranga)","Voice of Yuvanshankar Raja Vol. 2","Yuvan Shankar Raja",2013-07-10,306506,31,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:07Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.718,0.729,3,-5.458,0,0.0294,0.452,0.0117,0.0887,0.274,119.987,4
spotify:track:1GzpqhgVQAadcV6w9qIJIp,"Idhayam Love (Megamo Aval) - From Meyaadha Maan","I Love Pradeep Kumar","Santhosh Narayanan,Pradeep Kumar,Ananthu",2018-06-12,291121,48,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:15Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.296,0.298,0,-10.169,1,0.0296,0.777,0.00000651,0.0909,0.236,178.336,4
spotify:track:7j6Cb59M9yOq3aw4fmDzQj,"Unna Vida","Virumandi","Kamal Haasan,Shreya Ghoshal",2003-01-10,385226,0,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:30Z,"tamil pop,kollywood,tamil dance,bollywood,hindi pop,desi,kannada pop,marathi pop","Anak Audio",0.712,0.439,5,-11.056,1,0.0332,0.49,0.000179,0.0873,0.491,120.016,4
spotify:track:3Uo9rRELbWvuIvTBPL4KPq,"Neela Vaanam","Manmadan Ambu (Original Motion Picture Soundtrack)","Priya Hemesh,Kamal Haasan",2020-01-30,267280,52,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:34Z,"telugu pop,tollywood,kannada pop,tamil dance,tamil pop,kollywood","Ishtar Music Pvt. Ltd.",0.514,0.475,0,-5.202,1,0.0249,0.608,0,0.313,0.164,92.374,5
spotify:track:5spvSwBVAMvvNseq7SnrDa,"Yeya En Kottikkaaraa","Papanasam (Original Motion Picture Soundtrack)","Ghibran,Sundar Narayana Rao,Malavika Anilkumar",2015-06-22,308346,62,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:38Z,"devotional,tamil pop,kollywood","Think Music",0.551,0.413,0,-7.719,1,0.0315,0.684,0.00000243,0.111,0.391,179.979,3
spotify:track:0xttqqTj7ZAGyVkfOYxQ4F,"Nee Paartha Vizhigal - The Touch of Love","3 (Original Motion Picture Soundtrack)","Anirudh Ravichander,Vijay Yesudas,Shweta Mohan",2011-12-23,264506,71,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:53Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.665,0.596,9,-6.969,0,0.0278,0.293,0.0000367,0.247,0.644,110.055,4
spotify:track:7mLEUzAulFygMchoGMrP8E,"Ennodu Nee Irundhaal","I (Original Motion Picture Soundtrack)","A.R. Rahman,Sid Sriram,Sunitha Sarathy",2014-09-18,352710,68,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:54Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.261,0.603,0,-6.733,1,0.0367,0.558,0,0.184,0.207,158.125,4
spotify:track:5TL3UHuEBRMPbAIAOiPJmc,"Enkeyoo Partha","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Udit Narayan",2008-10-17,320960,68,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:56Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi","Think Music (India)",0.822,0.446,7,-8.899,0,0.0321,0.486,0.00102,0.147,0.654,119.994,4
spotify:track:4hTcGYU6uXZVCAfIMsxhlC,"Parayuvaan - From Ishq","Parayuvaan (From Ishq)","Sid Sriram,Neha S. Nair,Jakes Bejoy,Joe Paul",2019-05-12,277346,65,false,31zokwipy6wnwkgdu7iaoucopxs4,2022-10-25T06:40:59Z,"tollywood,telugu pop,tamil pop,kollywood,mollywood,malayalam pop,malayalam hip hop","E4 Entertainment",0.565,0.565,3,-8.64,1,0.0515,0.639,0.00206,0.0838,0.246,146.977,4
