Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2DoaVDkQT4g0lKmMNTwvTc,"Aathichudi (From 'TN 07 AL 4777')","Best Of Vijay Antony","Vijay AntonyDinesh Kanagaratnam",2019-07-12,251210,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:10:53Z,"","Divo",0.739,0.738,7,-8.241,1,0.249,0.348,0,0.161,0.737,139.895,4
spotify:track:2K058s9yrpoUfANaQt7Zu4,"Polakattum Para Para","Master (Original Motion Picture Soundtrack)","Anirudh Ravichander,Santhosh Narayanan",2020-03-16,214124,57,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:11:17Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.758,0.796,11,-6.483,0,0.17,0.165,0.000041,0.29,0.919,145.475,3
spotify:track:6aUstpsARWZwKY7x2wKvtI,"Naakka Mukka","Kadhalil Vizhundhen","Vijay Antony,Chorus",2007-12-07,303464,64,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:12:21Z,"tamil dance,tamil pop,kollywood,tamil hip hop,devotional,bhajan","Times Music",0.661,0.99,6,-1.162,0,0.101,0.496,0.52,0.346,0.743,95.017,4
spotify:track:3spahFLlYT9DappCXaDdab,"Kulirudha Pulla","Kulirudha Pulla (From 'Oththa Serupu' Original Motion Picture Sound Track)","Sid SriramSangeetha Karuppiah",2019-05-18,298733,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:12:24Z,"","Divo",0.284,0.277,9,-11.399,0,0.0363,0.908,0.000029,0.0958,0.141,94.8,4
spotify:track:5KbGHaITw0wFsuwWBsfY5C,"Puli Manga Pulip - From Parris Jeyaraj","Puli Manga Pulip (From Parris Jeyaraj)","Santhosh Narayanan,Gana Muthu",2021-01-21,178933,40,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:12:27Z,"tamil pop,kollywood,tamil hip hop,tamil dance,kannada pop","Think Music",0.686,0.909,7,-4.681,1,0.351,0.759,0.00000543,0.0423,0.812,80.373,4
spotify:track:3ntyAlz0WagkK3gdag2dFg,"Usuru Narambulay","Irudhi Suttru","Dhee",2016-01-04,191423,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:12:36Z,"tamil pop,tamil dance,kollywood,tollywood,tamil hip hop","Lahari Music",0.629,0.223,5,-7.079,0,0.0294,0.924,0.00000191,0.113,0.123,106.954,4
spotify:track:1aW4UG2v8CQzJEdvF6lC8p,"Rakita Rakita Rakita","Jagame Thandhiram (Original Motion Picture Soundtrack)","Santhosh Narayanan,Dhanush,Dhee",2021-06-07,247455,49,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:12:39Z,"tamil pop,kollywood,tamil hip hop,tamil dance,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.772,0.834,10,-5.174,0,0.174,0.549,0.000136,0.551,0.945,133.583,4
spotify:track:7crGzxRqI5pMZAjZgF9uu2,"Jai Sulthan - From Sulthan","Jai Sulthan (From Sulthan)","Vivek - Mervin,Anirudh Ravichander,Junior Nithya,Gana Guna",2021-02-11,246000,11,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:12:45Z,"tamil pop,tamil dance,kollywood,tamil indie,tamil hip hop,tollywood,telugu pop","Dream Warrior Pictures",0.722,0.86,0,-3.713,0,0.205,0.537,0,0.114,0.814,80.004,4
spotify:track:4PML5RtrVcYAwTTS46otXB,"Vaathi Raid","Master (Original Motion Picture Soundtrack)","Anirudh Ravichander,Arivu",2020-03-16,209500,65,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:12:53Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,tamil indie,malayalam hip hop","Sony Music Entertainment India Pvt. Ltd.",0.806,0.93,4,-3.404,0,0.132,0.253,0.0000194,0.106,0.666,100.016,4
spotify:track:1P4OiSP7ylgP3BmQyE0xx9,"Ponmagal Vandaal","Azagiya Tamilmagan (Soundtrack from the Motion Picture)","Aslam,Ember rap",2007-04-11,185546,57,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:09Z,"bollywood,desi","Star Music",0.832,0.629,1,-10.398,0,0.119,0.0729,0.00000453,0.0529,0.78,103.016,4
spotify:track:322xF47eamMLy7tFWtJHzF,"Un Mela Aasadhaan","Aayirathil Oruvan (Original Motion Picture Soundtrack)","G. V. Prakash,Dhanush,Aishwarya R Dhanush,Andrea Jeremiah",2009-06-10,271746,63,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:19Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.732,0.563,10,-10.155,0,0.128,0.191,0.000141,0.0759,0.563,169.943,4
spotify:track:4sHIS6p4YJYMTrXBjihFYz,"Bujji","Jagame Thandhiram (Original Motion Picture Soundtrack)","Santhosh Narayanan,Anirudh Ravichander",2021-06-07,267203,55,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:26Z,"tamil pop,kollywood,tamil hip hop,tamil dance,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.899,0.844,1,-3.465,1,0.139,0.0584,0,0.279,0.945,117.961,4
spotify:track:5PeEOojM9Iz9YHRGDu9jog,"Madai Thiranthu - Hit Track","Vallavan","Yogi And Natchatra",2008-08-29,345756,50,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:35Z,"tamil hip hop,tamil indie","Times Music",0.675,0.764,1,-6.015,0,0.473,0.21,0,0.827,0.894,90.392,4
spotify:track:0nvgbwlEwFDSVhsMwg8a7E,"Vambula Thumbula (From Sarpatta Parambarai)","Vambula Thumbula (From Sarpatta Parambarai)","Santhosh Narayanan,Gana Muthu,Isaivani,Gana Ulagam Dharani",2021-07-28,304833,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:38Z,"tamil pop,kollywood,tamil hip hop,tamil dance,kannada pop","maajja",0.636,0.792,11,-5.354,1,0.329,0.699,0.00051,0.0528,0.711,120.822,3
spotify:track:7fIAlEFbasrx4TAM3QcpSM,"Hey Vaada Vaada (From Kacheri Aarambam)","D. Imman Hits","M.L.R. Karthikeyan,Anitha Karthikeyan",2014-10-15,312440,55,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:42Z,"tamil dance,tollywood,telugu pop,tamil pop,kollywood","Star Music",0.76,0.771,5,-5.002,0,0.0627,0.702,0.000138,0.194,0.69,131.928,4
spotify:track:4SCKujvfRXRSLsksaMmAsx,"Yaakkai Thiri (From Aayutha Ezhuthu)","Voice of Rahman","A.R. Rahman,Sunitha Sarathy,Pop Shalini",2013-07-10,273426,42,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:45Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,tamil dance,tamil hip hop,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.628,0.787,10,-8.623,0,0.0329,0.0106,0.000626,0.159,0.326,135.976,4
spotify:track:0ew71PqPi7ehntkabL9W4c,"Yethi Yethi","Vaaranam Aayiram (Original Motion Picture Soundtrack)","Harris Jayaraj,Benny Dayal,Naresh Iyer,Solar Sai",2008-10-08,293866,63,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:51Z,"tamil pop,kollywood,tamil dance,bollywood,desi,hindi pop,tollywood,telugu pop,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.941,0.771,10,-7.002,0,0.0919,0.0656,0,0.131,0.59,104.501,4
spotify:track:7EICSvrfg1zzFp6iNUZ6Og,"Valayapatti","Azagiya Tamilmagan (Soundtrack from the Motion Picture)","Naresh Iyer,Ujjayinee,Madhumitha",2007-04-11,344360,62,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:13:59Z,"tamil pop,kollywood,tollywood,telugu pop","Star Music",0.78,0.732,1,-9.021,1,0.0538,0.298,0,0.0685,0.804,114.934,4
spotify:track:1HdN5z9EDr3OiQO3ZDUUBU,"Ulagam Oruvanukka","Kabali (Original Motion Picture Soundtrack)","Santhosh Narayanan,Ananthu,Gana Bala,Roshan Jamrock",2016-06-13,242868,53,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:14:08Z,"tamil pop,kollywood,tamil hip hop,tamil dance,tamil indie","Think Music",0.771,0.879,1,-4.532,1,0.27,0.116,0,0.169,0.642,104.969,4
spotify:track:39g4GmzPyDLTdtnhu24r2H,"Jorthaale","Jorthaale","Asal Kolaar,ofRO",2020-10-27,110117,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:14:08Z,"tamil hip hop,tamil indie,malayalam hip hop,tamil dance,tamil pop,kollywood","Atti Culture",0.813,0.96,0,-4.192,1,0.214,0.63,0.348,0.0985,0.766,169.994,4
spotify:track:2ZkqC1bg2PTyjL1HvbFJCc,"Meyyana Inbam","Easan (Original Motion Picture Soundtrack)","Sukhwinder Singh,Benny Dayal,Sunandan",2010-11-19,293453,51,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:14:27Z,"bollywood,desi,hindi pop,tamil dance,tamil hip hop","Think Music",0.67,0.883,5,-4.789,1,0.0657,0.0123,0.0381,0.29,0.483,139.99,4
spotify:track:0n84wNo6l1WDuAPDy5uM7Z,"Jalsa (From Chennai-600028)","Ranjith Hits at Yuvan Music","Ranjith Govind,Tippu,Haricharan,Karthik,Premgi Amaren",2013-06-08,236800,54,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:14:32Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood,kannada pop,sandalwood,mollywood,malayalam pop,tamil hip hop","Five Star Audio",0.902,0.593,7,-7.717,1,0.129,0.0109,0.00347,0.813,0.604,99.999,4
spotify:track:6SkMXIqCaFtWwtwXLHVpmz,"Aathangara Orathil (From Yaan)","20 Biggest Hits : Harris Jayaraj Vol. 2","Harris Jayaraj,Gana Bala,MC Vickey",2017-05-26,264666,42,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:14:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.935,0.643,10,-7.015,0,0.236,0.00912,0,0.0997,0.465,98.984,4
spotify:track:3Tu8zZ9osqEy3OJriNlZNc,"Ella Pugazhum","Azagiya Tamilmagan (Soundtrack from the Motion Picture)","A.R. Rahman",2007-04-11,331506,55,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:14:39Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","Star Music",0.708,0.886,1,-8.261,1,0.064,0.166,0,0.116,0.612,119.955,4
spotify:track:5i2HAgKyxC6NRlsiAgofe8,"Kanadhasan Karaikudi","Anjathe (Original Motion Picture Soundtrack)","Myskkin",2020-02-29,245266,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:14:44Z,"tamil dance","UIE",0.842,0.63,8,-5.64,0,0.0433,0.0868,0,0.0836,0.869,114.974,4
spotify:track:1UPPDUrCYljlxigBScBWdY,"Bhagavan Rap","Aadhi Bhagavan","Sathyan,Rajeev Tha Prophecy",2013,222824,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:14:47Z,"tamil dance,tamil hip hop,kollywood,tamil pop","Gemini Audio/Gemini Entertainment & Mobile Media Services",0.517,0.678,7,-7.214,0,0.0727,0.0112,0.00000655,0.317,0.344,91.764,4
spotify:track:2gRJ3rj8GwCsl1a5tUo9dp,"Arjunar Villu","Ghilli","Vidyasagar,Sukhwinder Singh",2004-03-17,267160,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:15:03Z,"malayalam pop,mollywood,tamil dance,kollywood,tamil pop,bollywood,desi,hindi pop","Ayngaran",0.76,0.948,2,-3.39,0,0.0936,0.181,0,0.0962,0.537,99.971,4
spotify:track:7Ja5SkTniDUgOBxbiMTfvD,"Makkayala","Naan (Original Motion Picture Soundtrack)","Mark,Sakthi Sree,Krishan(Rap),Mahesan",2012-06-04,292179,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:15:06Z,"tamil dance,tamil hip hop,kollywood","Gemini Audio",0.753,0.791,8,-5.495,1,0.144,0.272,0.0000044,0.166,0.792,150.007,4
spotify:track:3p4vXmvE970zZSZUF0GUnT,"Dailamo Dailamo","Dishyum (Original Background Score)","Vijay Antony,Sangeetha Rajeshwaran",2006-01-25,267666,61,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:15:14Z,"tamil dance,tamil pop,kollywood,tamil hip hop","VMS Music Records and Publishing Sdn Bhd",0.814,0.663,6,-7.802,0,0.0565,0.121,0,0.587,0.815,125.03,4
spotify:track:15C4q7G41cgBApe7hinKc3,"Voda Voda Voda","Mayakkam Enna","Dhanush",2011,276378,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:16:12Z,"tamil dance,tamil pop,kollywood","Gemini Audio/Gemini Entertainment & Mobile Media Services",0.807,0.519,0,-7.565,0,0.082,0.247,0.000256,0.0774,0.386,85.008,4
spotify:track:5iv6lZAIguXWYW4Zaz5zvY,"Porkkalam - Tamil Rap","Aadukalam (Original Motion Picture Soundtrack)","G. V. Prakash,Yogi B",2010-11-08,260506,54,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:16:15Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.849,0.768,8,-4.085,1,0.233,0.277,0.00000126,0.332,0.774,98,4
spotify:track:4w4592PKZilgQoawzmyqJH,"Kathala Kannala","Anjathe (Original Motion Picture Soundtrack)","Naveen Madhav",2020-02-29,274800,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:16:24Z,"tamil dance,tamil pop,kannada pop,kollywood,tollywood,telugu pop","UIE",0.744,0.857,8,-3.12,1,0.0845,0.104,0.00000204,0.0504,0.598,136.017,4
spotify:track:0olXZomaefsY05YH3SFL2K,"Engeyum Eppothum","Polladhavan (Original Motion Picture Soundtrack)","S. P. Balasubrahmanyam,Yogi. B,Sunitha Sarathy",2021-06-15,289149,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:16:44Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood,tamil hip hop,tamil dance","Hariharan Music",0.639,0.885,10,-6.024,0,0.273,0.178,0.000538,0.189,0.475,149.958,4
spotify:track:5vTK1aaFZo2auJjQhGgHgD,"Mustafaa Mustafaa","Kadhal Desam","A.R. Rahman",2007-10-01,366225,51,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:16:47Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","Alai Osai Productions Sdn Bhd",0.808,0.382,9,-13.015,0,0.0499,0.0365,0.000242,0.0799,0.767,95.087,4
spotify:track:3afbpZyurGJSCo521K9SzK,"Neruppe","Vettaiaadu Vilayadu (Original Motion Picture Soundtrack)","Franko,Solar Sai,Sowmya",2006-03-08,292013,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:16:50Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.854,0.605,11,-8.915,1,0.0778,0.0107,0.00024,0.22,0.599,108.995,4
spotify:track:4zzttZti7oNKG9438Jmcm6,"Blood bath","Blood bath","Adhya",2020-07-09,212259,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:16:53Z,"","Adhya",0.527,0.876,9,-9.193,1,0.11,0.718,0.0000219,0.537,0.309,109.021,4
spotify:track:0TKh7b5rpmvydOl9FvSyXL,"Nahna Na Nah","Biriyani (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Devan Ekambaram",2013-08-21,267640,47,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:16:59Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.803,0.594,8,-6.202,1,0.0381,0.223,0.00387,0.0767,0.593,92.007,4
spotify:track:3WnkthKWaNjhxA1VXx0wnS,"Nee marilyn monroe","Azagiya Tamilmagan (Soundtrack from the Motion Picture)","Benny Dayal,Ujjayinee",2007-04-11,374986,50,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:17:05Z,"bollywood,desi,hindi pop","Star Music",0.816,0.47,5,-10.35,1,0.0602,0.0809,0.000297,0.0796,0.504,100.002,4
spotify:track:14ElpzgQZM9VAEJuIjZcbs,"Kodana Kodi","Saroja (Original Motion Picture Soundtrack)","Ranina Reddy,SUVI,Rahul Nambiar",2018-06-24,297822,62,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:17:06Z,"tollywood,telugu pop,tamil pop,kollywood,tamil dance,tamil hip hop","Times Music",0.723,0.898,10,-2.55,0,0.11,0.24,0.000289,0.0901,0.664,95.003,4
spotify:track:4FRQWmFWX7ABRXHl4reyHn,"Varlaam Varlaam Vaa","Bairavaa","Roshan Jamrock,Arunraja Kamaraj",2016-12-21,235224,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:17:06Z,"tamil hip hop,tamil pop,kollywood,tamil indie,tamil dance","Lahari Music",0.706,0.938,1,-3.949,1,0.0727,0.0306,0.000198,0.25,0.931,134.988,4
spotify:track:5GtSotljtkcZEmieA3iZcF,"Malaayooru","Mambattiyan","Megha,Thaman S,Na.Muthukumar",2010-09-01,251872,69,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:17:20Z,"tollywood,telugu pop,tamil dance,tamil pop,kollywood,kannada pop","Saga Music",0.764,0.885,2,-9.057,1,0.084,0.794,0.891,0.226,0.684,141.973,4
spotify:track:2i7JOIpn3z56nmsFc4ebwd,"Happy New Year","Kuruvi","Vaaisan,Dr. Burn Mc.jazz,Sunidhi Chauhan",2008-08-08,243066,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:17:31Z,"bollywood,desi,hindi pop","Anak Audio",0.603,0.93,11,-2.813,0,0.432,0.315,0,0.138,0.725,169.366,3
spotify:track:6ffEHNJBFnr68xNVoRwPf2,"Mavane (From Pattas)","Mavane (From Pattas)","Arivu,Vivek",2019-12-30,231309,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:17:38Z,"tamil hip hop,tamil pop,tamil indie,tamil dance,kollywood,malayalam hip hop","Lahari Music",0.677,0.987,2,-3.579,1,0.0502,0.171,0,0.105,0.515,89.98,4
spotify:track:42KTXZZ4qTHmjlBvmpegwL,"Evan Di Una Pethan","Vaanam (Original Motion Picture Soundtrack)","Silambarasan TR,Yuvan Shankar Raja",2010-11-28,356293,53,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:17:41Z,"tamil dance,tamil pop,kollywood,tamil hip hop","Ishtar Music Pvt. Ltd.",0.723,0.82,8,-3.899,1,0.03,0.0557,0.0000297,0.0481,0.337,126.025,4
spotify:track:3lKI2qR6rgR13kQ6bidXK5,"Macha Kanni","Naan Avanillai (Original Motion Picture Soundtrack)","Vijay Antony,Jayarajagopalam,Sathya Lakshmi",2007,290053,63,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:18:25Z,"tamil dance,tamil pop,kollywood,tamil hip hop","Roja/Mass Audio",0.778,0.816,11,-4.813,1,0.207,0.364,0.00000853,0.14,0.83,148.023,4
spotify:track:2SvWFsUR7wTok617ZUH0mk,"Sathikadi","Sukran","Sangeetha Mahadevan,Vijay Antony",2005-02-15,280320,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:18:36Z,"tamil dance,tamil pop,kollywood,tamil hip hop","Ayngaran",0.818,0.817,7,-5.25,1,0.277,0.282,0.00000139,0.0677,0.889,79.933,4
spotify:track:4ozRjRsmzHBWtH7h0mhj1w,"Uchimandai","Vettaikaaran (Original Motion Picture Soundtrack)","Vijay Antony,Krishna Iyer,Shoba Chandrasekhar,Charulatha Mani,Shakthisree Gopalan",2009-09-24,252200,67,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:18:52Z,"tamil dance,tamil pop,kollywood,tamil hip hop","Think Music (India)",0.489,0.824,0,-3.118,0,0.137,0.162,0.00000215,0.104,0.917,83.003,4
spotify:track:7eaxiz4XTTq0AHfxNH1d8Y,"Kaakha Kaakha","Naan Avanillai (Original Motion Picture Soundtrack)","Vijay Antony,Charulatha Mani,Vinaya",2007,258839,39,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:19:23Z,"tamil dance,tamil pop,kollywood,tamil hip hop","Roja/Mass Audio",0.623,0.79,10,-4.706,0,0.0646,0.0832,0.000401,0.295,0.434,118.936,4
spotify:track:7yyAvB5OKThmWWnmaVTEhU,"Nee Kavidhai","Naan Avanillai (Original Motion Picture Soundtrack)","Krishh,Megha",2007,263253,27,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:19:42Z,"tamil pop,kollywood,telugu pop,tollywood,tamil dance","Roja/Mass Audio",0.809,0.761,0,-5.022,0,0.0524,0.636,0.0000202,0.205,0.734,150.001,4
spotify:track:6AKnCEz2sa9DAPQIkjsPjD,"Radha Kadhal","Naan Avanillai (Original Motion Picture Soundtrack)","Maya,Vinaya,V. V. Prasanna",2007,282400,30,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:19:48Z,"tamil dance,tamil pop,kollywood","Roja/Mass Audio",0.691,0.875,9,-6.006,1,0.195,0.115,0,0.216,0.457,120.014,4
spotify:track:4g0wOgqvhM9v4SDAuMMCII,"Then Kudicha","Naan Avanillai (Original Motion Picture Soundtrack)","Naresh Iyer,Deepa Miriam",2007,269200,39,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:19:56Z,"tamil pop,kollywood,tollywood,telugu pop","Roja/Mass Audio",0.719,0.726,1,-5.342,1,0.0719,0.589,0,0.11,0.552,152.922,4
spotify:track:0fKqlihU1gGCFPuc4ii1ju,"Aen Enakku","Naan Avanillai (Original Motion Picture Soundtrack)","Jayadev,Sangeetha Rajeshwaran,Sheepa",2007,309106,51,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:20:03Z,"tamil pop,tamil dance,kollywood","Roja/Mass Audio",0.629,0.785,7,-4.714,0,0.08,0.399,0.00000406,0.0718,0.706,83.963,4
spotify:track:2S41NYKvhfm94DbWLjLUmH,"Karigalan","Vettaikaaran (Original Motion Picture Soundtrack)","Vijay Antony,Surchith,Sangeetha Rajeshwaran",2009-09-24,255413,67,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:20:20Z,"tamil dance,tamil pop,kollywood,tamil hip hop","Think Music (India)",0.795,0.832,5,-3.215,0,0.0676,0.294,0,0.343,0.773,131.986,4
spotify:track:3Jea97Ww0h68c3zEOM7udp,"Unakkena Naan","Kadhalil Vizhundhen","Ramya,Vijay Antony",2007-12-07,236434,45,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:20:46Z,"tollywood,telugu pop,tamil dance,tamil pop,kollywood,tamil hip hop","Times Music",0.614,0.662,0,-2.159,0,0.0328,0.855,0.00014,0.17,0.21,143.909,4
spotify:track:7mQjVfocpzkKd3PN1TtwKR,"Nenjangootil Neeye","Dishyum (Original Background Score)","Vijay Antony,Jayadev,Rajalakshmi",2006-01-25,275626,50,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:20:54Z,"tamil dance,tamil pop,kollywood,tamil hip hop,kannada pop,malayalam pop","VMS Music Records and Publishing Sdn Bhd",0.672,0.711,5,-8.798,0,0.206,0.198,0,0.102,0.791,180.037,4
spotify:track:7lwUOjohKiRoG0SK58bAfS,"Nee Otha Sollu Sollu","Aval Peyar Tamilarasi (Original Motion Picture Soundtrack)","Vijay Antony,Ranjith Govind,Nidha",2010-11-02,289440,48,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:21:02Z,"tamil dance,tamil pop,kollywood,tamil hip hop,telugu pop,tollywood","Think Music (India)",0.732,0.642,1,-7.526,0,0.0363,0.348,0.00013,0.0746,0.687,97.966,4
spotify:track:0Ul2NGGDAybeXWU0RLnv83,"Chinna Thamarai","Vettaikaaran (Original Motion Picture Soundtrack)","Vijay Antony,Krishh,Suchitra",2009-09-24,273840,60,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:21:19Z,"tamil dance,tamil pop,kollywood,tamil hip hop,telugu pop,tollywood","Think Music (India)",0.807,0.843,1,-4.925,1,0.0387,0.135,0.00106,0.361,0.473,103.994,4
spotify:track:4GhKHdOTM0Nvf2pN7cqRnC,"Lealakku Lealakku","Aathi","Vidyasagar,Kay Kay,Sujatha",2006-01-15,280213,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:22:09Z,"malayalam pop,mollywood,tamil dance,kollywood,tamil pop,telugu pop","Eros Ayangaran",0.792,0.735,10,-6.385,0,0.306,0.419,0.00000769,0.0188,0.967,158.031,3
spotify:track:6Cmty2ddtxc9r4gpr4XNiQ,"Siragadikkum Nilavu","Suraa (Original Motion Picture Soundtrack)","Mani Sharma,Karthik,Rita Thyagarajan",2010-04-01,267333,41,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:22:38Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,mollywood","Think Music (India)",0.755,0.844,7,-6.746,1,0.0597,0.0164,0.00103,0.0869,0.41,100.968,4
spotify:track:4KPIl97RknWDtRUocn48Wr,"Naan Nadandhal Adhiradi","Suraa (Original Motion Picture Soundtrack)","Mani Sharma,Naveen Madhav,Janani Madhan",2010-04-01,274293,48,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:22:46Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood,kannada pop","Think Music (India)",0.829,0.823,2,-5.172,1,0.0659,0.00981,0.000101,0.199,0.484,132.981,4
spotify:track:11Jc2Ei86hC883lhWp5IjE,"Then Then Then","Kuruvi (Original Motion Picture Soundtrack)","Udit Narayan,Shreya Ghoshal",2008,238600,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:22:59Z,"bollywood,hindi pop,desi,kannada pop,marathi pop","Anak Audio",0.712,0.819,8,-4.565,1,0.0451,0.125,0.000956,0.161,0.655,96.987,4
spotify:track:3OHrDiouGM4JAela32PaM0,"Dandaana Darna","Kuruvi (Original Motion Picture Soundtrack)","Sangeet Altipur",2008,227386,0,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:23:11Z,"","Anak Audio",0.599,0.961,0,-3.779,1,0.153,0.0723,0.00000536,0.117,0.663,119.91,3
spotify:track:5yhuupgONNN3fOeZidDODM,"Vasantha Mullai (From Pokkiri)","Hits of Ilayathalapathy Vijay","Rahul Nambiar,Krishnamurthy",2013-12-17,255346,28,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:23:39Z,"tollywood,telugu pop,tamil dance,tamil pop,kollywood","Five Star Audio",0.728,0.657,2,-7.356,0,0.279,0.156,0.00000591,0.0681,0.795,82.63,4
spotify:track:74KEPz7wtRY84IvkhG7UZj,"Tamil Tamil (From Pokkiri)","Vikram and Vijay Hits","Ranjith Govind,Swetha",2013-07-17,291626,21,false,31xknjktg5qnbdelb2tw73omjucy,2021-11-19T12:23:49Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood","Five Star Audio",0.931,0.572,7,-6.668,0,0.0397,0.0818,0.0141,0.0903,0.627,123.001,4
